"Sales summary - Summary
All day (12:00 AM-11:59 PM ET)", 
Gross sales,$652.00
Items,$652.00
Service charges,$0.00
Returns,$0.00
Discounts & comps,$0.00
Net sales,$652.00
Deferred sales,$0.00
Gift card sales,$0.00
Taxes,$39.12
Tips,$0.00
Total sales,$691.12
Total payments collected,$691.12
Card,$691.12
Fees,-$22.48
Square payment processing fees,-$22.48
Net total,$668.64
Total number of sales,30
Sales transactions,30
Item sales transactions,30
Service charges transactions,0
Itemized returns transactions,0
Discounts transactions,0
Comps transactions,0
Gift card sales transactions,0
Taxes transactions,30
Tips transactions,0
Total sales transactions,30
Total payments collected transactions,30
