"Sales summary - Summary
All day (12:00 AM-11:59 PM ET)", 
Gross sales,"$9,220.00"
Items,"$9,220.00"
Service charges,$0.00
Returns,$0.00
Discounts & comps,$0.00
Net sales,"$9,220.00"
Deferred sales,$0.00
Gift card sales,$0.00
Taxes,$553.20
Tips,$0.00
Total sales,"$9,773.20"
Total payments collected,"$9,773.20"
Card,"$9,736.10"
Cash App,$37.10
Fees,-$302.74
Square payment processing fees,-$302.74
Net total,"$9,470.46"
Total number of sales,485
Sales transactions,485
Item sales transactions,485
Service charges transactions,0
Itemized returns transactions,0
Discounts transactions,0
Comps transactions,0
Gift card sales transactions,0
Taxes transactions,485
Tips transactions,0
Total sales transactions,485
Total payments collected transactions,485
