"Sales summary - Summary
All day (12:00 AM-11:59 PM ET)", 
Gross sales,"$3,522.00"
Items,"$3,522.00"
Service charges,$0.00
Returns,$0.00
Discounts & comps,$0.00
Net sales,"$3,522.00"
Deferred sales,$0.00
Gift card sales,$0.00
Taxes,$211.32
Tips,$0.00
Total sales,"$3,733.32"
Total payments collected,"$3,733.32"
Card,"$3,733.32"
Fees,-$114.66
Square payment processing fees,-$114.66
Net total,"$3,618.66"
Total number of sales,175
Sales transactions,175
Item sales transactions,175
Service charges transactions,0
Itemized returns transactions,0
Discounts transactions,0
Comps transactions,0
Gift card sales transactions,0
Taxes transactions,175
Tips transactions,0
Total sales transactions,175
Total payments collected transactions,175
